,class
57800,0
29163,0
22114,0
108284,0
80219,0
32946,1
39438,0
6116,0
54114,0
2803,0
110304,0
85259,0
9164,1
125824,0
109166,0
74875,1
67291,0
34020,0
116575,0
81327,0
28331,1
40675,0
68874,0
137762,1
24240,0
5753,0
72903,0
110048,0
11255,0
99979,0
95911,0
94615,0
112346,0
76791,0
28918,0
137432,0
37303,1
87929,0
17405,0
25138,1
99790,0
68814,0
73509,0
113926,0
61720,0
83503,0
62646,0
131277,1
124834,0
91062,0
80038,0
134875,0
121991,0
42697,0
75984,0
147063,0
126401,0
57585,0
93263,0
148352,0
30016,0
61130,0
79984,0
118112,0
29832,0
115528,0
6340,0
77699,0
126432,1
104156,1
35913,0
14889,0
81135,0
150745,0
82954,0
59801,0
54956,0
4385,0
13821,0
146122,0
116717,0
117219,0
71275,0
6781,0
40989,0
131937,0
106912,0
103191,0
33769,1
66237,1
148137,0
40387,0
19283,0
69877,0
108334,0
32571,0
28530,0
92426,0
6897,0
99794,0
68553,0
122022,0
82350,0
134916,0
127712,1
120176,0
135933,0
36516,0
115469,0
103917,0
46554,0
75539,0
17970,0
42640,0
1255,0
11508,0
141896,1
38316,0
272,0
123526,0
25412,0
47503,0
70446,0
142510,0
98135,0
127586,0
28870,0
101684,0
69418,0
9850,0
114075,0
58204,1
46468,0
28933,0
7356,0
46020,0
106122,1
68562,0
85318,0
111688,0
105892,0
149059,0
57360,0
92428,0
35926,0
126814,0
142131,0
43840,0
18132,0
79332,0
75583,0
20275,0
110028,0
63972,0
141333,0
33344,0
138208,0
104674,0
67980,0
75368,0
28275,0
140090,0
122019,0
16114,0
29384,0
61741,0
123707,1
83618,0
131035,0
141121,0
65244,0
72391,0
60543,0
113857,0
96101,0
19362,0
45570,0
18838,0
61525,0
6909,0
36171,0
15247,0
91242,0
48732,0
46672,0
131112,1
126227,0
121348,0
46074,0
37079,0
51855,0
75905,0
66130,0
70161,0
99436,0
107647,0
55011,0
88677,0
128953,0
144830,0
104827,0
87831,0
53856,0
71812,0
92783,1
66766,0
39588,1
145298,0
29959,0
149280,0
81471,0
101052,0
148604,0
3782,0
120717,0
62700,0
7993,0
122898,1
83223,0
134291,1
112332,0
138411,0
103716,0
51607,0
149868,0
95044,0
32339,0
80565,0
21696,0
106951,0
39309,0
4954,0
25344,0
108246,0
18939,0
86487,0
27915,0
126045,0
76677,0
1746,0
31386,0
58242,0
136157,0
79702,0
141771,0
52902,0
131217,0
65663,1
128869,0
77939,0
44777,0
31991,0
123784,0
97097,0
95504,1
97449,0
95570,1
129528,0
73788,1
46786,0
139616,0
19641,0
129791,0
20751,0
84640,0
142909,0
133052,0
82490,1
10430,0
11453,0
141390,0
8174,0
46777,0
130428,0
145726,0
72322,0
112857,0
112012,0
147408,1
98651,0
131278,0
46379,0
30598,0
61507,0
94458,0
43193,0
74588,1
119743,0
9220,0
113808,0
135885,0
36332,0
78490,0
52624,0
73570,0
17475,1
112520,0
104677,0
132694,0
45829,0
68339,1
20976,0
119231,0
32923,0
101566,0
63384,0
117861,1
104317,0
112206,0
35407,0
62233,0
71182,0
14017,0
4636,0
108741,0
103728,0
23996,0
107238,0
13294,0
30521,0
41818,0
39130,0
89868,1
330,0
125182,0
93045,0
34331,0
104087,0
28302,0
30703,0
61146,0
110570,1
51189,0
2476,0
29297,0
81121,0
140921,1
142508,0
109191,0
17887,0
60427,0
106010,0
79149,1
123341,0
43365,0
138889,0
44103,0
115344,0
144666,0
133278,0
129303,0
103144,0
70656,0
95547,0
65548,0
126760,0
97765,0
25860,0
26444,0
46418,1
33801,0
79970,0
33141,1
28226,0
21291,0
150110,0
62821,0
38496,0
62531,0
79378,0
148259,0
111942,1
75222,0
144355,0
52696,0
86732,0
77983,0
40467,0
46204,1
10523,0
106190,0
109542,0
149703,0
9695,0
9917,0
65962,0
112822,0
103957,0
34298,0
114434,0
59756,0
15486,0
3786,0
145427,1
136020,1
131306,0
2704,0
139646,0
21326,0
24666,0
104756,0
72566,0
96956,0
60725,0
36721,0
110881,0
137237,0
115181,1
147331,0
132554,0
101670,0
43453,0
5582,1
4125,0
147139,0
38201,0
126794,1
139964,0
101056,0
79140,0
40761,0
61552,0
15255,0
123772,0
102334,0
115694,0
143975,0
63841,0
38189,0
123821,0
64604,1
132966,0
15999,0
6477,0
72979,0
130286,0
105114,0
22340,0
14983,1
29316,0
133802,0
60183,0
261,0
102185,0
91016,0
26482,0
96461,0
119303,0
35657,0
132131,0
94240,0
1286,0
97934,0
135428,0
25005,0
88655,0
79744,0
64714,0
82506,1
137808,0
123789,0
132292,0
90830,0
4819,0
83062,0
55347,0
106899,0
85263,0
61274,0
4842,0
35924,0
56469,0
121533,0
28524,0
103308,0
11368,0
101253,1
66173,0
33527,0
107510,0
127413,0
88359,0
11933,0
116690,0
111812,0
11771,0
17126,0
29516,0
11417,0
72307,0
15394,0
62952,0
1687,0
17378,0
68027,1
113519,0
45110,0
58269,0
94456,0
130502,1
114139,0
64334,1
97336,0
47230,0
149113,0
38986,0
133682,0
104745,0
21511,0
25973,0
138659,1
98585,0
28399,0
16866,0
136184,1
85905,0
107745,0
131747,0
144945,1
53218,0
17389,0
38266,0
125234,0
80334,0
151024,0
71817,0
112749,0
18552,0
148088,0
5961,0
149642,0
68569,0
108359,0
34525,0
118055,0
113494,0
12650,0
74460,1
58506,0
19257,0
45211,0
29758,0
131853,0
54539,0
76173,0
85170,0
110612,1
44794,0
134925,0
114970,0
69467,0
92969,0
13492,1
150915,0
34675,0
47455,0
142585,0
115441,1
35839,0
53341,0
34065,0
25894,0
116369,0
16660,1
55978,0
23519,0
87508,0
100354,0
150863,0
91557,1
69830,0
60063,0
13573,0
96311,0
143454,1
93116,0
21877,0
28946,0
71298,0
65847,0
71385,0
118605,0
146994,0
76063,0
58694,0
85791,0
135053,0
85185,1
57164,0
77924,0
148896,0
30264,0
42324,1
131299,0
76846,0
10876,0
16530,0
9718,0
101894,0
43854,0
108982,0
14257,0
45193,1
63098,0
141910,0
90915,1
653,0
65349,0
96918,0
82191,0
33357,0
14188,0
145983,0
7310,0
10496,1
68255,0
11074,0
142180,1
123792,0
585,0
69407,0
112669,0
31328,0
107684,0
5683,1
5346,0
72716,0
62253,0
99297,0
101360,0
100449,0
96079,0
71212,0
75803,0
93643,0
130551,0
57097,0
139945,1
32302,0
16557,0
26926,0
65081,0
144132,0
113902,0
140275,0
132333,0
61949,0
26797,0
16462,0
74176,0
12423,0
149791,0
81312,0
83862,1
93932,0
101920,1
32212,1
113746,0
112266,1
93945,0
20056,0
75669,0
142430,0
148017,0
74307,0
145906,1
142835,0
141728,0
117417,1
34089,0
47658,0
9084,0
149281,0
83974,0
120395,0
105420,1
130510,0
70619,0
88474,0
13595,0
7588,0
74687,0
79448,0
53222,0
9176,0
31260,0
115704,0
48377,0
94190,0
60255,0
56647,0
26324,0
148637,0
179,0
71319,0
123614,0
87936,0
3902,0
47752,0
27930,0
73472,0
42716,0
29850,0
126802,0
6309,0
77892,0
14812,0
16954,0
42926,0
61286,0
72245,0
142570,0
89347,0
100613,0
86737,0
142956,0
35885,0
24475,0
34856,0
108303,0
110057,1
143246,0
60080,0
41381,1
74455,0
61890,1
110389,0
5152,1
26407,0
51824,0
93287,0
10121,0
24242,1
30544,0
128854,0
138798,0
8499,0
101732,0
83349,1
6023,0
67851,0
42137,0
118148,0
114848,0
146570,0
79159,1
31042,0
75615,0
49266,0
9785,0
31526,0
22777,0
22567,0
75225,0
97118,0
14415,0
11290,0
147767,0
111362,0
28552,0
43548,0
57014,0
70256,0
140295,0
150677,0
65463,0
91848,1
19742,0
95607,0
112265,0
101505,1
138737,0
45363,1
30627,1
4548,0
66021,0
112844,0
61382,0
142814,0
54721,0
56241,1
139324,0
36500,0
36317,0
59076,0
23347,0
37972,0
53881,0
146913,0
77835,0
100485,0
96836,1
134140,0
148383,0
118476,0
26135,0
93326,0
148217,1
118941,0
98617,0
58167,0
15753,0
52122,0
68303,0
4995,0
126608,0
16543,0
97520,0
68300,0
21929,0
41580,0
111034,0
150929,0
45735,0
28246,0
17013,0
44702,0
23280,0
66593,1
149859,0
66774,0
107399,0
63077,0
43426,0
28948,0
60560,0
22710,1
121433,0
36029,0
98054,0
55235,0
106095,0
113827,0
36496,0
142322,0
44042,0
25097,1
96828,0
113108,0
143958,0
96903,0
137243,1
77471,0
11874,1
67328,0
78210,0
101263,0
84027,0
117732,0
92394,0
41585,0
88307,0
45552,0
131470,0
17862,0
96985,0
10355,0
76754,0
35557,0
133154,0
126979,0
13586,1
93648,0
129044,0
51899,0
50355,0
101731,0
88836,0
45752,0
150586,0
138292,0
44757,0
76369,1
31336,0
84850,1
128097,0
66551,0
102748,0
110837,0
28784,0
39470,0
18698,0
97139,0
26044,0
49211,0
64397,0
129377,0
109856,0
122728,1
15151,0
147942,0
5174,0
145581,0
120270,1
26078,0
69651,0
59082,0
134477,0
117786,0
85222,0
120955,0
99507,1
112142,0
11504,0
82235,0
79410,0
132696,0
139982,0
25235,1
24986,1
81500,0
115707,0
57123,0
108794,1
28871,0
12741,0
129292,0
57870,0
24400,0
14142,0
48741,0
107644,0
108029,0
106328,1
58366,0
37036,0
13251,0
26272,0
12071,1
136148,0
63116,1
51224,0
62061,0
131159,0
137565,0
130735,0
3034,1
18766,0
111411,0
106267,0
116428,0
17652,0
136507,0
6871,0
52765,0
78722,0
55193,0
127436,0
17724,0
586,0
13166,0
21615,0
135966,0
126394,0
97212,0
104536,0
18512,0
13293,0
123505,0
59370,0
91518,0
38416,0
57609,0
22537,0
104578,0
7926,0
102502,0
28134,0
83297,0
28274,0
125528,0
584,0
80751,0
131214,0
64099,0
55046,0
135629,0
130948,0
61133,0
148928,0
121575,0
87486,0
146624,0
121570,0
62268,0
77553,0
124166,0
26375,0
150219,0
26774,0
118803,0
35716,0
121331,0
104166,0
37435,0
125215,0
103282,0
36814,0
99898,0
24391,0
15530,0
15216,0
106248,0
38558,0
121725,0
7774,1
123320,0
39058,1
128648,0
108562,0
8714,0
42253,0
16531,0
52013,0
60274,0
95854,0
145116,0
53615,0
144192,0
47719,0
37374,0
2275,0
150734,0
39258,0
116617,0
71993,0
72894,0
131211,0
57053,0
149876,0
16874,0
104930,0
37012,0
94472,0
69236,0
8396,1
7185,0
136744,0
71098,0
131096,0
128566,0
80872,1
122398,1
89553,0
4662,0
90038,0
123044,0
50405,0
67702,0
97350,0
3065,0
145959,0
106016,0
119202,0
137660,0
11784,0
79873,0
70914,0
74976,0
135200,0
63827,0
52786,0
87469,0
87859,0
66538,0
118798,1
105127,0
147604,0
22626,1
63143,0
16801,0
87843,0
107680,0
79581,0
46097,0
53372,0
99270,0
147417,0
80277,0
72379,0
8837,0
102189,0
26690,0
139450,0
134641,0
100674,0
63557,1
10200,0
114584,0
113765,0
120297,0
18979,0
88266,0
16743,0
145255,0
6849,0
56747,1
63868,0
60673,0
134719,0
121851,0
149097,0
53910,0
133135,0
99188,0
141393,0
125652,0
52856,0
76004,0
71150,0
7492,0
150484,0
14808,0
57436,0
104602,0
5826,1
74998,0
55650,0
104561,0
114612,0
88457,0
108803,0
107096,0
5656,0
47073,0
144941,0
87575,0
86625,0
112151,0
111669,0
130628,0
19687,0
22047,0
70772,0
27030,0
47248,0
9934,0
30822,0
122219,0
26028,0
147448,0
128936,0
111755,0
33212,0
24992,0
107165,0
54693,0
114387,0
147939,0
46992,0
111779,0
148120,0
145549,0
22560,0
130922,1
86114,0
142783,0
15628,0
80127,0
118899,0
95484,0
87741,0
51103,0
25078,0
63849,0
26894,0
16166,0
140986,0
150112,0
35962,0
73421,0
91738,0
74867,0
10401,0
59199,0
96510,0
60780,0
143625,0
133484,0
102199,0
40968,0
82414,0
96912,0
75204,0
48258,0
70586,0
27708,0
24084,0
89201,0
35703,0
105453,1
114318,0
123656,0
143343,0
401,0
90934,0
105481,0
24278,0
123643,0
100966,0
20243,0
97007,0
33935,0
31110,0
66270,0
148113,1
38518,0
93668,0
132113,0
84606,0
136670,0
23049,0
95559,0
15207,1
146816,0
87960,0
36382,0
121271,0
107405,0
6766,0
38313,0
45139,0
150208,0
143441,1
26114,0
55642,1
47197,0
37330,0
148091,0
107283,0
147046,0
11301,0
119720,0
41182,0
43428,0
16383,0
138763,0
85934,0
147491,0
122082,0
48255,0
4985,0
102528,0
100475,0
31913,0
101812,0
18992,0
5364,0
41997,0
50684,0
125356,0
82147,0
77298,0
64976,0
140835,0
31665,0
22921,0
86051,0
44017,0
118602,0
78896,0
88070,1
132727,0
74160,0
116706,0
68260,0
65966,0
43715,0
135565,0
63926,0
31723,1
28535,1
88170,0
18947,0
57649,0
26842,0
69123,0
45232,0
21095,0
127180,0
101200,1
105676,0
25637,0
94451,0
24731,0
81276,0
37099,0
25014,0
3807,0
60210,0
141822,0
64438,0
69624,0
104011,0
30700,0
125579,0
22100,0
64186,0
103088,0
79681,0
59495,0
71060,0
2579,0
137943,0
2836,1
81520,1
68431,0
73633,0
127788,0
113443,0
35228,0
101663,0
38424,0
130060,0
51648,0
52949,0
58325,0
26186,0
91091,0
132800,0
101625,0
135677,1
2950,0
49972,0
76738,0
53693,0
91645,0
13563,0
143009,0
28494,0
135197,0
131607,0
91936,0
26074,0
44673,0
25840,0
71143,0
43231,0
30231,0
67128,0
133507,0
71791,0
104915,0
29425,1
47925,0
92354,0
46881,0
72380,0
127747,1
43286,0
64679,0
42432,0
91980,0
60353,0
117853,0
84750,0
121341,0
130672,0
16876,0
99693,0
75915,0
73273,0
68537,1
115106,0
102226,0
29469,0
125288,0
35815,0
142762,0
128619,0
120791,0
126196,0
56850,0
33335,0
146103,1
8667,0
15900,0
106607,0
36906,0
100600,0
92578,0
144107,0
32992,0
91474,0
42531,0
30727,0
143100,1
51971,0
57749,0
16157,0
78458,0
103592,0
95813,0
104900,0
3646,0
38937,0
29093,0
131692,0
125841,0
40651,0
10621,0
55724,0
64696,0
50455,0
134375,0
114856,0
68885,0
66376,0
134511,0
118680,0
63431,0
115601,0
96991,0
114676,0
16741,0
62812,0
62028,0
3549,0
134630,0
93146,0
99798,0
68824,0
27648,0
57738,0
115712,0
140962,0
84910,0
124116,0
118209,0
24501,0
123495,0
30368,0
26612,0
85510,1
23903,0
60486,0
16899,0
126482,0
19012,0
25906,0
142625,0
56589,0
63322,0
117825,1
24589,0
120918,0
119644,0
129935,0
4160,0
17483,0
38276,1
106877,0
23916,0
126612,0
148300,0
39935,0
150422,0
71658,0
23603,0
40653,0
93899,0
3066,0
22218,0
120450,0
89922,0
86390,0
3497,0
80287,0
7320,0
89643,1
137596,0
27963,0
13665,0
46597,0
123546,0
2519,0
46983,0
120565,0
58730,0
29609,0
74865,0
134844,0
61229,0
16825,0
31848,0
52061,0
106694,0
148951,0
147427,0
8909,0
120958,0
38173,0
39402,0
135923,0
22730,0
100918,0
63703,0
23950,0
107387,0
52889,0
111107,0
128879,0
70916,0
29812,0
66724,0
67957,0
138699,0
35233,0
21850,0
145066,0
69903,0
49367,0
128178,0
49010,0
98699,0
46903,0
36574,0
25598,1
139531,1
78907,0
110980,0
69640,0
142290,0
119899,0
43601,0
49102,0
123714,1
80540,0
377,0
8183,0
131232,1
49843,0
71365,0
39070,0
19092,0
47884,1
55039,0
41680,0
13640,1
21547,0
114573,0
61821,0
87842,0
52348,0
132402,0
109312,0
64760,0
102532,0
101533,0
79114,0
41855,0
17409,0
136623,0
122407,0
64188,0
54337,0
42487,0
84427,0
57044,0
46508,0
28627,0
46876,0
105184,0
149864,0
122171,0
85276,0
132668,0
40533,0
138321,0
40484,0
142333,0
23969,0
69195,0
68970,0
54464,0
131375,1
49046,0
115350,0
15474,0
28697,0
15738,0
56110,0
43782,0
121726,0
24937,0
134557,0
118412,0
57578,0
81870,0
51137,0
131599,0
94750,0
146310,0
25268,0
73572,0
29208,0
105055,0
115997,0
77187,0
121755,0
21671,0
29385,0
70076,0
66589,0
73848,0
80200,0
71650,0
16087,0
135835,1
96953,0
62471,0
16555,0
73256,0
9544,0
50999,0
130436,0
28832,0
63320,0
134614,0
42641,1
10887,0
128885,0
22262,0
128719,0
12916,0
21813,0
31880,1
21323,0
5098,0
33029,0
101116,0
51614,0
130367,0
107557,0
116187,0
103889,0
71500,0
146959,0
50699,0
93606,0
65264,0
143774,0
29991,0
88991,0
77955,0
139198,0
24922,0
89508,0
76946,0
105994,0
81830,0
14847,0
92875,1
85421,0
99567,0
139841,0
56874,1
92746,0
44989,0
69986,0
34042,0
149584,0
84251,0
65192,0
5126,0
5608,0
29356,0
33963,0
77612,0
104299,0
127296,0
150681,0
51018,0
7429,0
101163,0
85303,0
64319,0
11114,0
42329,0
29270,0
58752,0
110084,0
72731,0
145561,0
52654,0
110122,1
90231,0
149693,0
106507,1
53627,0
109784,0
20715,0
84904,0
46339,0
1261,0
18322,0
53740,0
72060,0
69617,1
6943,0
49186,0
98269,1
19646,0
57073,0
23355,1
107583,0
107359,0
54083,0
142868,0
47050,0
132127,0
107179,0
100306,0
125179,0
37125,1
107135,0
9640,1
127391,0
59007,0
109238,0
88907,0
78175,0
10020,0
11311,0
139036,0
14777,0
109361,0
8527,0
147171,0
120511,1
13454,1
34543,0
30724,0
21278,0
100309,0
94509,0
80728,0
128006,0
38603,0
113806,0
105311,0
120211,0
13576,0
105077,0
43586,0
89527,0
101823,0
107823,0
121514,1
43818,0
45605,0
26488,0
69609,1
36253,0
35364,0
74219,0
39874,0
105931,0
8938,0
32948,0
44028,1
81877,0
32553,0
40626,0
20677,1
26753,0
83180,0
20879,1
80505,0
6348,0
146541,0
54656,1
31805,0
10910,0
101346,0
56533,0
75811,0
71909,0
27485,0
13769,0
55230,0
137876,0
97331,1
41378,0
44003,0
21189,0
43002,0
72642,0
10393,1
34873,1
71253,0
35588,0
132160,0
116956,0
25785,0
10434,0
128281,1
110899,0
120936,0
116329,0
108639,0
883,0
96001,0
94742,0
140897,0
39206,0
64206,0
7138,0
138681,0
63934,1
24156,0
109706,0
130631,0
64933,0
50261,0
31818,0
30655,0
56038,0
44692,0
53909,0
52160,0
56085,0
15435,0
21758,0
61421,0
82800,0
75964,0
8113,0
61697,1
22301,0
129523,0
31512,0
71157,0
55719,0
60670,0
89801,0
92580,0
98477,0
82326,0
142149,0
67417,0
60357,0
65872,0
9639,0
149785,0
62086,0
18115,0
79959,0
14120,0
91322,0
143754,0
66368,0
79302,0
101612,0
3015,0
12234,0
58052,0
10086,0
29487,0
93039,0
47623,1
17856,0
52661,0
99013,0
83509,0
27539,1
92141,0
85711,0
150819,0
58314,1
61917,0
78827,0
132199,0
78659,0
142361,0
64121,0
131724,0
142129,0
37605,0
68793,0
60319,0
96361,0
120105,1
94199,0
1511,0
88412,0
113578,0
119510,0
116716,1
76512,0
51927,0
86029,0
41791,0
33469,0
127524,0
36166,0
119988,0
149432,0
144479,0
78359,0
115194,0
59018,0
27496,0
76705,0
117691,0
40000,0
64281,0
33126,0
150186,0
57751,0
91164,0
3116,0
23089,0
51655,0
92552,0
138026,0
89215,0
10495,0
33365,1
108458,0
84121,0
432,0
62116,0
126808,0
134261,0
75214,0
26479,0
34405,0
49443,0
103755,0
12587,0
40820,0
82348,1
94360,0
138809,0
143226,0
52749,0
46503,0
36864,0
46547,0
69514,0
117817,0
104103,0
70728,0
17657,1
10790,0
124291,0
6256,0
138977,0
64953,0
5338,0
76106,0
147988,0
138735,1
58166,1
28958,1
130724,0
122840,0
93162,1
126855,0
33911,0
145533,0
107500,0
27456,1
86639,0
38656,0
16145,0
74730,0
42955,0
146229,0
4504,0
16156,0
24783,0
144183,0
119360,0
2827,0
119938,0
57555,0
96356,0
32425,0
20899,0
114319,1
36655,0
118335,0
111191,0
84754,0
20654,0
16470,0
68632,0
56164,0
55149,0
71556,0
142922,0
132667,0
42982,0
100360,1
12550,0
73947,0
17149,1
116275,0
91073,0
31047,0
148706,0
66218,0
1602,0
15504,0
3091,0
128797,0
109428,0
29112,0
110007,0
141537,0
22097,0
74458,0
121159,0
75702,0
119253,0
109576,0
77576,0
138952,0
135126,1
7553,0
26231,1
2307,1
2130,0
150990,0
98459,0
60974,0
5210,0
45881,0
147945,0
66784,0
49534,1
41603,0
48325,0
86511,0
40510,0
68264,0
131592,0
122368,0
94833,1
139300,0
50880,0
23569,0
127569,0
129409,0
98984,0
99329,0
22201,0
105164,0
187,0
84,1
47335,0
89597,0
67961,1
23690,0
87779,1
64335,0
128735,0
90435,0
66147,1
82605,0
51314,0
5239,0
104101,0
77461,0
128783,0
32694,0
146846,0
97897,1
31982,0
18410,0
24437,0
6130,1
68225,0
134151,0
75440,0
101090,0
98557,0
54774,0
71635,0
30027,0
110662,0
78278,0
26034,0
140664,0
82099,0
56807,0
115124,0
125667,0
123221,0
18424,0
25442,0
131874,0
125582,0
141310,0
31701,0
123541,0
51996,0
50062,0
108475,0
42603,0
82736,0
23595,0
130001,0
138272,0
57915,0
92156,0
51164,0
102682,1
98288,0
85684,0
26939,0
90165,0
101341,0
89602,0
139305,0
77476,1
16491,0
